group_id,female,manager,population,district_id,state_name,year
228,f,f,127019,4,Missouri,2015
229,f,f,148957,5,Missouri,2015
230,f,f,149243,6,Missouri,2015
231,f,f,139467,7,Missouri,2015
232,f,f,118606,8,Missouri,2015
233,f,f,191620,0,Montana,2015
234,f,f,136202,1,Nebraska,2015
235,f,f,140807,2,Nebraska,2015
236,f,f,132144,3,Nebraska,2015
237,f,f,125765,1,Nevada,2015
238,f,f,128664,2,Nevada,2015
239,f,f,147681,3,Nevada,2015
240,f,f,118930,4,Nevada,2015
241,f,f,139584,1,NewHampshire,2015
242,f,f,138200,2,NewHampshire,2015
243,f,f,139259,1,NewJersey,2015
244,f,f,126572,2,NewJersey,2015
245,f,f,132767,3,NewJersey,2015
246,f,f,138180,4,NewJersey,2015
247,f,f,159036,5,NewJersey,2015
248,f,f,153863,6,NewJersey,2015
249,f,f,161136,7,NewJersey,2015
250,f,f,177861,8,NewJersey,2015
251,f,f,151484,9,NewJersey,2015
252,f,f,131649,10,NewJersey,2015
253,f,f,155640,11,NewJersey,2015
254,f,f,147893,12,NewJersey,2015
255,f,f,121575,1,NewMexico,2015
256,f,f,111703,2,NewMexico,2015
257,f,f,112702,3,NewMexico,2015
258,f,f,145225,1,NewYork,2015
259,f,f,147500,2,NewYork,2015
260,f,f,147860,3,NewYork,2015
261,f,f,147355,4,NewYork,2015
262,f,f,141811,5,NewYork,2015
263,f,f,147437,6,NewYork,2015
264,f,f,143685,7,NewYork,2015
265,f,f,122319,8,NewYork,2015
266,f,f,128355,9,NewYork,2015
267,f,f,155522,10,NewYork,2015
268,f,f,134103,11,NewYork,2015
269,f,f,184959,12,NewYork,2015
270,f,f,132038,13,NewYork,2015
271,f,f,154616,14,NewYork,2015
272,f,f,104191,15,NewYork,2015
273,f,f,132152,16,NewYork,2015
274,f,f,139785,17,NewYork,2015
275,f,f,135328,18,NewYork,2015
276,f,f,124352,19,NewYork,2015
277,f,f,139239,20,NewYork,2015
278,f,f,115902,21,NewYork,2015
279,f,f,120854,22,NewYork,2015
280,f,f,118070,23,NewYork,2015
281,f,f,122900,24,NewYork,2015
282,f,f,129614,25,NewYork,2015
283,f,f,120174,26,NewYork,2015
284,f,f,143700,27,NewYork,2015
285,f,f,108480,1,NorthCarolina,2015
286,f,f,142111,2,NorthCarolina,2015
287,f,f,115552,3,NorthCarolina,2015
288,f,f,156193,4,NorthCarolina,2015
289,f,f,140682,5,NorthCarolina,2015
290,f,f,136897,6,NorthCarolina,2015
291,f,f,128786,7,NorthCarolina,2015
292,f,f,130400,8,NorthCarolina,2015
293,f,f,177798,9,NorthCarolina,2015
294,f,f,131658,10,NorthCarolina,2015
295,f,f,120946,11,NorthCarolina,2015
296,f,f,145987,12,NorthCarolina,2015
297,f,f,161302,13,NorthCarolina,2015
298,f,f,166804,0,NorthDakota,2015
299,f,f,134525,1,Ohio,2015
300,f,f,142755,2,Ohio,2015
301,f,f,137091,3,Ohio,2015
302,f,f,135769,4,Ohio,2015
303,f,f,143751,5,Ohio,2015
304,f,f,118902,6,Ohio,2015
305,f,f,142561,7,Ohio,2015
306,f,f,136557,8,Ohio,2015
307,f,f,117551,9,Ohio,2015
308,f,f,127055,10,Ohio,2015
309,f,f,101131,11,Ohio,2015
310,f,f,157984,12,Ohio,2015
311,f,f,122860,13,Ohio,2015
312,f,f,148136,14,Ohio,2015
313,f,f,145136,15,Ohio,2015
314,f,f,145874,16,Ohio,2015
315,f,f,165788,1,Oklahoma,2015
316,f,f,120158,2,Oklahoma,2015
317,f,f,148926,3,Oklahoma,2015
318,f,f,152119,4,Oklahoma,2015
319,f,f,154352,5,Oklahoma,2015
320,f,f,164632,1,Oregon,2015
321,f,f,125533,2,Oregon,2015
322,f,f,156914,3,Oregon,2015
323,f,f,116874,4,Oregon,2015
324,f,f,143414,5,Oregon,2015
325,f,f,118652,1,Pennsylvania,2015
326,f,f,102639,2,Pennsylvania,2015
327,f,f,127173,3,Pennsylvania,2015
328,f,f,145588,4,Pennsylvania,2015
329,f,f,124355,5,Pennsylvania,2015
330,f,f,157553,6,Pennsylvania,2015
331,f,f,146790,7,Pennsylvania,2015
332,f,f,149243,8,Pennsylvania,2015
333,f,f,124730,9,Pennsylvania,2015
334,f,f,130879,10,Pennsylvania,2015
335,f,f,133432,11,Pennsylvania,2015
336,f,f,134021,12,Pennsylvania,2015
337,f,f,132596,13,Pennsylvania,2015
338,f,f,132541,14,Pennsylvania,2015
339,f,f,143489,15,Pennsylvania,2015
340,f,f,142123,16,Pennsylvania,2015
341,f,f,124150,17,Pennsylvania,2015
342,f,f,147181,18,Pennsylvania,2015
343,f,f,92378,1,RhodeIsland,2015
344,f,f,101690,2,RhodeIsland,2015
345,f,f,148006,1,SouthCarolina,2015
346,f,f,131838,2,SouthCarolina,2015
347,f,f,114575,3,SouthCarolina,2015
348,f,f,131539,4,SouthCarolina,2015
349,f,f,121898,5,SouthCarolina,2015
350,f,f,96313,6,SouthCarolina,2015
351,f,f,107585,7,SouthCarolina,2015
352,f,f,180570,0,SouthDakota,2015
353,f,f,118548,1,Tennessee,2015
354,f,f,134655,2,Tennessee,2015
355,f,f,126201,3,Tennessee,2015
356,f,f,145051,4,Tennessee,2015
357,f,f,154701,5,Tennessee,2015
358,f,f,135915,6,Tennessee,2015
359,f,f,130899,7,Tennessee,2015
360,f,f,129571,8,Tennessee,2015
361,f,f,111715,9,Tennessee,2015
362,f,f,120521,1,Texas,2015
363,f,f,179907,2,Texas,2015
364,f,f,193682,3,Texas,2015
365,f,f,133652,4,Texas,2015
366,f,f,135051,5,Texas,2015
367,f,f,147785,6,Texas,2015
368,f,f,183920,7,Texas,2015
369,f,f,154580,8,Texas,2015
370,f,f,153711,9,Texas,2015
371,f,f,178234,10,Texas,2015
372,f,f,153835,11,Texas,2015
373,f,f,160307,12,Texas,2015
374,f,f,138390,13,Texas,2015
375,f,f,141048,14,Texas,2015
376,f,f,117815,15,Texas,2015
377,f,f,122913,16,Texas,2015
378,f,f,139933,17,Texas,2015
379,f,f,143399,18,Texas,2015
380,f,f,134519,19,Texas,2015
381,f,f,141751,20,Texas,2015
382,f,f,160104,21,Texas,2015
383,f,f,187754,22,Texas,2015
384,f,f,133581,23,Texas,2015
385,f,f,193348,24,Texas,2015
386,f,f,146241,25,Texas,2015
387,f,f,184129,26,Texas,2015
388,f,f,142124,27,Texas,2015
389,f,f,118543,28,Texas,2015
390,f,f,159937,29,Texas,2015
391,f,f,135819,30,Texas,2015
392,f,f,161138,31,Texas,2015
393,f,f,169496,32,Texas,2015
394,f,f,153855,33,Texas,2015
395,f,f,108002,34,Texas,2015
396,f,f,165567,35,Texas,2015
397,f,f,146472,36,Texas,2015
398,f,f,145654,1,Utah,2015
399,f,f,142703,2,Utah,2015
400,f,f,135677,3,Utah,2015
401,f,f,160075,4,Utah,2015
402,f,f,118995,0,Vermont,2015
403,f,f,151100,1,Virginia,2015
404,f,f,136169,2,Virginia,2015
405,f,f,110536,3,Virginia,2015
406,f,f,134479,4,Virginia,2015
407,f,f,127592,5,Virginia,2015
408,f,f,132947,6,Virginia,2015
409,f,f,160066,7,Virginia,2015
410,f,f,186894,8,Virginia,2015
411,f,f,117998,9,Virginia,2015
412,f,f,183913,10,Virginia,2015
413,f,f,173788,11,Virginia,2015
414,f,f,157249,1,Washington,2015
415,f,f,140861,2,Washington,2015
416,f,f,128497,3,Washington,2015
417,f,f,127608,4,Washington,2015
418,f,f,110243,5,Washington,2015
419,f,f,109095,6,Washington,2015
420,f,f,174507,7,Washington,2015
421,f,f,153021,8,Washington,2015
422,f,f,151939,9,Washington,2015
423,f,f,125743,10,Washington,2015
424,f,f,105649,1,WestVirginia,2015
425,f,f,112060,2,WestVirginia,2015
426,f,f,78814,3,WestVirginia,2015
427,f,f,140187,1,Wisconsin,2015
428,f,f,156796,2,Wisconsin,2015
429,f,f,137322,3,Wisconsin,2015
430,f,f,116090,4,Wisconsin,2015
431,f,f,159298,5,Wisconsin,2015
