official_id,rep_type,female,state_name,district_id,year
274,house,0,Louisiana,1,2015
275,house,0,Louisiana,2,2015
276,house,0,Louisiana,3,2015
277,house,0,Louisiana,4,2015
278,house,0,Louisiana,5,2015
279,house,0,Louisiana,6,2015
280,house,1,Maine,1,2015
281,house,0,Maine,2,2015
282,house,0,Maryland,1,2015
283,house,0,Maryland,2,2015
284,house,0,Maryland,3,2015
285,house,1,Maryland,4,2015
286,house,0,Maryland,5,2015
287,house,0,Maryland,6,2015
288,house,0,Maryland,7,2015
289,house,0,Maryland,8,2015
290,house,0,Massachusetts,1,2015
291,house,0,Massachusetts,2,2015
292,house,1,Massachusetts,3,2015
293,house,0,Massachusetts,4,2015
294,house,1,Massachusetts,5,2015
295,house,0,Massachusetts,6,2015
296,house,0,Massachusetts,7,2015
297,house,0,Massachusetts,8,2015
298,house,0,Massachusetts,9,2015
299,house,0,Michigan,1,2015
300,house,0,Michigan,2,2015
301,house,0,Michigan,3,2015
302,house,0,Michigan,4,2015
303,house,0,Michigan,5,2015
304,house,0,Michigan,6,2015
305,house,0,Michigan,7,2015
306,house,0,Michigan,8,2015
307,house,0,Michigan,9,2015
308,house,1,Michigan,10,2015
309,house,0,Michigan,11,2015
310,house,1,Michigan,12,2015
311,house,0,Michigan,13,2015
312,house,1,Michigan,14,2015
313,house,0,Minnesota,1,2015
314,house,0,Minnesota,2,2015
315,house,0,Minnesota,3,2015
316,house,1,Minnesota,4,2015
317,house,0,Minnesota,5,2015
318,house,0,Minnesota,6,2015
319,house,0,Minnesota,7,2015
320,house,0,Minnesota,8,2015
321,house,0,Mississippi,1,2015
322,house,0,Mississippi,2,2015
323,house,0,Mississippi,3,2015
324,house,0,Mississippi,4,2015
325,house,0,Missouri,1,2015
326,house,1,Missouri,2,2015
327,house,0,Missouri,3,2015
328,house,1,Missouri,4,2015
329,house,0,Missouri,5,2015
330,house,0,Missouri,6,2015
331,house,0,Missouri,7,2015
332,house,0,Missouri,8,2015
333,house,0,Montana,0,2015
334,house,0,Nebraska,1,2015
335,house,0,Nebraska,2,2015
336,house,0,Nebraska,3,2015
337,house,1,Nevada,1,2015
338,house,0,Nevada,2,2015
339,house,0,Nevada,3,2015
340,house,0,Nevada,4,2015
341,house,0,NewHampshire,1,2015
342,house,1,NewHampshire,2,2015
343,house,0,NewJersey,1,2015
344,house,0,NewJersey,2,2015
345,house,0,NewJersey,3,2015
346,house,0,NewJersey,4,2015
347,house,0,NewJersey,5,2015
348,house,0,NewJersey,6,2015
349,house,0,NewJersey,7,2015
350,house,0,NewJersey,8,2015
351,house,0,NewJersey,9,2015
352,house,0,NewJersey,10,2015
353,house,0,NewJersey,11,2015
354,house,1,NewJersey,12,2015
355,house,1,NewMexico,1,2015
356,house,0,NewMexico,2,2015
357,house,0,NewMexico,3,2015
358,house,0,NewYork,1,2015
359,house,0,NewYork,2,2015
360,house,0,NewYork,3,2015
361,house,1,NewYork,4,2015
362,house,0,NewYork,5,2015
363,house,1,NewYork,6,2015
364,house,1,NewYork,7,2015
365,house,0,NewYork,8,2015
366,house,1,NewYork,9,2015
367,house,0,NewYork,10,2015
368,house,0,NewYork,11,2015
369,house,1,NewYork,12,2015
370,house,0,NewYork,13,2015
371,house,0,NewYork,14,2015
372,house,0,NewYork,15,2015
373,house,0,NewYork,16,2015
374,house,1,NewYork,17,2015
375,house,0,NewYork,18,2015
376,house,0,NewYork,19,2015
377,house,0,NewYork,20,2015
378,house,1,NewYork,21,2015
379,house,0,NewYork,22,2015
380,house,0,NewYork,23,2015
381,house,0,NewYork,24,2015
382,house,1,NewYork,25,2015
383,house,0,NewYork,26,2015
384,house,0,NewYork,27,2015
385,house,0,NorthCarolina,1,2015
386,house,1,NorthCarolina,2,2015
387,house,0,NorthCarolina,3,2015
388,house,0,NorthCarolina,4,2015
389,house,1,NorthCarolina,5,2015
390,house,0,NorthCarolina,6,2015
391,house,0,NorthCarolina,7,2015
392,house,0,NorthCarolina,8,2015
393,house,0,NorthCarolina,9,2015
394,house,0,NorthCarolina,10,2015
395,house,0,NorthCarolina,11,2015
396,house,1,NorthCarolina,12,2015
397,house,0,NorthCarolina,13,2015
398,house,0,NorthDakota,0,2015
399,house,0,Ohio,1,2015
400,house,0,Ohio,2,2015
401,house,0,Ohio,3,2015
402,house,0,Ohio,4,2015
403,house,0,Ohio,5,2015
404,house,0,Ohio,6,2015
405,house,0,Ohio,7,2015
406,house,0,Ohio,8,2015
407,house,1,Ohio,9,2015
408,house,0,Ohio,10,2015
409,house,1,Ohio,11,2015
410,house,0,Ohio,12,2015
411,house,0,Ohio,13,2015
412,house,0,Ohio,14,2015
413,house,0,Ohio,15,2015
