group_id,female,manager,population,district_id,state_name
136,f,f,149518,4,Illinois
137,f,f,178530,5,Illinois
138,f,f,159756,6,Illinois
139,f,f,118269,7,Illinois
140,f,f,163677,8,Illinois
141,f,f,148892,9,Illinois
142,f,f,144116,10,Illinois
143,f,f,152653,11,Illinois
144,f,f,114149,12,Illinois
145,f,f,119107,13,Illinois
146,f,f,159471,14,Illinois
147,f,f,128672,15,Illinois
148,f,f,131171,16,Illinois
149,f,f,119070,17,Illinois
150,f,f,139038,18,Illinois
568,f,t,5910,1,Illinois
569,f,t,6311,2,Illinois
570,f,t,8058,3,Illinois
571,f,t,6423,4,Illinois
572,f,t,14542,5,Illinois
573,f,t,15880,6,Illinois
574,f,t,9659,7,Illinois
575,f,t,10734,8,Illinois
576,f,t,12926,9,Illinois
577,f,t,12760,10,Illinois
578,f,t,10608,11,Illinois
579,f,t,7081,12,Illinois
580,f,t,7830,13,Illinois
581,f,t,13428,14,Illinois
582,f,t,7006,15,Illinois
583,f,t,8394,16,Illinois
584,f,t,5093,17,Illinois
585,f,t,9180,18,Illinois
1003,t,f,96239,1,Illinois
1004,t,f,96806,2,Illinois
1005,t,f,100949,3,Illinois
1006,t,f,96367,4,Illinois
1007,t,f,140980,5,Illinois
1008,t,f,105901,6,Illinois
1009,t,f,117856,7,Illinois
1010,t,f,106693,8,Illinois
1011,t,f,103997,9,Illinois
1012,t,f,103392,10,Illinois
1013,t,f,105970,11,Illinois
1014,t,f,94171,12,Illinois
1015,t,f,95907,13,Illinois
1016,t,f,107009,14,Illinois
1017,t,f,94559,15,Illinois
1018,t,f,89481,16,Illinois
1019,t,f,91479,17,Illinois
1020,t,f,102947,18,Illinois
1438,t,t,6223,1,Illinois
1439,t,t,6936,2,Illinois
1440,t,t,5204,3,Illinois
1441,t,t,5138,4,Illinois
1442,t,t,11112,5,Illinois
1443,t,t,8304,6,Illinois
1444,t,t,8935,7,Illinois
1445,t,t,5784,8,Illinois
1446,t,t,7584,9,Illinois
1447,t,t,6023,10,Illinois
1448,t,t,7594,11,Illinois
1449,t,t,7250,12,Illinois
1450,t,t,6737,13,Illinois
1451,t,t,8698,14,Illinois
1452,t,t,4362,15,Illinois
1453,t,t,5469,16,Illinois
1454,t,t,3294,17,Illinois
1455,t,t,6585,18,Illinois
151,f,f,126149,1,Indiana
152,f,f,136193,2,Indiana
153,f,f,144623,3,Indiana
154,f,f,149010,4,Indiana
155,f,f,157462,5,Indiana
156,f,f,137681,6,Indiana
157,f,f,121762,7,Indiana
158,f,f,136674,8,Indiana
159,f,f,142073,9,Indiana
586,f,t,8517,1,Indiana
587,f,t,7179,2,Indiana
588,f,t,7051,3,Indiana
589,f,t,7961,4,Indiana
590,f,t,13917,5,Indiana
591,f,t,7257,6,Indiana
592,f,t,8560,7,Indiana
593,f,t,6436,8,Indiana
594,f,t,10349,9,Indiana
1021,t,f,85964,1,Indiana
1022,t,f,92446,2,Indiana
1023,t,f,100587,3,Indiana
1024,t,f,104041,4,Indiana
1025,t,f,123103,5,Indiana
1026,t,f,97472,6,Indiana
1027,t,f,110136,7,Indiana
1028,t,f,96248,8,Indiana
1029,t,f,103262,9,Indiana
1456,t,t,5356,1,Indiana
1457,t,t,4177,2,Indiana
1458,t,t,4902,3,Indiana
1459,t,t,6783,4,Indiana
1460,t,t,10723,5,Indiana
1461,t,t,5680,6,Indiana
1462,t,t,8031,7,Indiana
1463,t,t,5047,8,Indiana
1464,t,t,7394,9,Indiana
160,f,f,160113,1,Iowa
161,f,f,155410,2,Iowa
162,f,f,174308,3,Iowa
163,f,f,154805,4,Iowa
595,f,t,9454,1,Iowa
596,f,t,10722,2,Iowa
597,f,t,11180,3,Iowa
598,f,t,6567,4,Iowa
1030,t,f,117804,1,Iowa
1031,t,f,112626,2,Iowa
1032,t,f,135166,3,Iowa
1033,t,f,107789,4,Iowa
1465,t,t,6721,1,Iowa
1466,t,t,7033,2,Iowa
1467,t,t,7952,3,Iowa
1468,t,t,4852,4,Iowa
164,f,f,143037,1,Kansas
165,f,f,129905,2,Kansas
166,f,f,163915,3,Kansas
167,f,f,143558,4,Kansas
599,f,t,7943,1,Kansas
600,f,t,7507,2,Kansas
601,f,t,12381,3,Kansas
602,f,t,8185,4,Kansas
1034,t,f,93595,1,Kansas
1035,t,f,103515,2,Kansas
1036,t,f,121342,3,Kansas
1037,t,f,102538,4,Kansas
1469,t,t,6311,1,Kansas
1470,t,t,6723,2,Kansas
1471,t,t,8008,3,Kansas
1472,t,t,5474,4,Kansas
168,f,f,117791,1,Kentucky
169,f,f,133865,2,Kentucky
170,f,f,136883,3,Kentucky
171,f,f,142967,4,Kentucky
172,f,f,89503,5,Kentucky
173,f,f,143415,6,Kentucky
603,f,t,6083,1,Kentucky
604,f,t,6362,2,Kentucky
605,f,t,10884,3,Kentucky
606,f,t,9611,4,Kentucky
607,f,t,4841,5,Kentucky
608,f,t,9939,6,Kentucky
1038,t,f,90144,1,Kentucky
1039,t,f,97380,2,Kentucky
1040,t,f,119335,3,Kentucky
1041,t,f,104274,4,Kentucky
1042,t,f,73174,5,Kentucky
1043,t,f,107632,6,Kentucky
1473,t,t,4591,1,Kentucky
1474,t,t,4714,2,Kentucky
1475,t,t,6229,3,Kentucky
1476,t,t,6216,4,Kentucky
1477,t,t,2890,5,Kentucky
1478,t,t,6740,6,Kentucky
174,f,f,152494,1,Louisiana
175,f,f,134802,2,Louisiana
176,f,f,139389,3,Louisiana
177,f,f,112854,4,Louisiana
178,f,f,111162,5,Louisiana
179,f,f,154375,6,Louisiana
609,f,t,11208,1,Louisiana
610,f,t,7311,2,Louisiana
611,f,t,7984,3,Louisiana
612,f,t,6615,4,Louisiana
613,f,t,6186,5,Louisiana
614,f,t,10857,6,Louisiana
1044,t,f,117747,1,Louisiana
1045,t,f,120076,2,Louisiana
1046,t,f,110796,3,Louisiana
1047,t,f,90772,4,Louisiana
1048,t,f,94903,5,Louisiana
1049,t,f,117923,6,Louisiana
1479,t,t,8090,1,Louisiana
1480,t,t,8138,2,Louisiana
1481,t,t,6280,3,Louisiana
1482,t,t,6342,4,Louisiana
1483,t,t,5862,5,Louisiana
